101,48	5,69%	2,44%	-1,00%	1,48%
95,41	-2,41%	-1,84%	-5,40%	-2,54%
95,08	-4,93%	-0,72%	-3,42%	-0,19%
96,62	-4,79%	0,63%	-2,47%	-5,74%
95,84	0,45%	-1,98%	-1,40%	-4,98%
96,45	1,44%	-3,57%	0,71%	-2,03%
96,49	-0,13%	-4,91%	0,49%	-2,60%
98,03	2,29%	2,75%	0,27%	0,86%
90,42	-6,26%	-4,91%	-9,60%	-5,59%
89,15	-7,61%	-7,73%	-12,15%	-7,16%
93,02	-5,11%	-2,94%	-2,50%	-4,85%
93,78	3,73%	-2,77%	-1,37%	-6,23%
95,78	7,44%	-0,74%	-0,87%	-5,62%
99,53	7,00%	1,53%	3,86%	4,32%
101,95	8,71%	12,76%	5,70%	7,22%
102,49	7,00%	14,96%	6,21%	6,07%
103,95	4,44%	11,75%	6,04%	8,47%
102,38	0,42%	9,17%	13,23%	6,15%
102,77	0,28%	7,30%	15,28%	6,50%
104,46	0,49%	4,95%	12,30%	6,56%
103,74	1,33%	1,76%	10,62%	14,74%
105,47	2,63%	2,91%	10,11%	18,31%
105,56	1,05%	1,55%	6,06%	13,48%
109,55	5,59%	7,00%	7,45%	16,81%
106,69	1,16%	3,81%	4,10%	11,39%
108,81	3,08%	4,16%	4,67%	9,32%
110,00	0,41%	6,03%	7,44%	7,89%
112,52	5,47%	6,68%	9,48%	9,79%
115,24	5,91%	9,17%	10,32%	10,86%
120,26	9,33%	9,78%	15,92%	17,46%
116,44	3,48%	9,14%	10,40%	13,30%
117,20	1,70%	7,71%	11,02%	12,19%
114,21	-5,04%	3,82%	4,25%	10,09%
115,12	-1,13%	2,31%	7,90%	9,15%
119,90	2,30%	4,04%	10,19%	13,58%
123,76	8,37%	2,91%	12,51%	12,98%
123,88	7,61%	6,39%	10,10%	16,12%
120,94	0,86%	3,19%	4,94%	11,14%
127,08	2,68%	11,27%	5,67%	15,52%
128,54	3,76%	11,66%	10,40%	14,24%
127,35	5,30%	6,21%	8,66%	10,51%
133,28	4,89%	7,69%	16,71%	10,83%
135,14	5,13%	9,09%	17,39%	16,06%
139,38	9,44%	15,25%	16,24%	18,92%
143,06	7,34%	12,58%	15,60%	25,27%
147,14	8,88%	14,47%	18,78%	27,82%
154,47	10,83%	21,30%	27,73%	28,83%
158,45	10,76%	18,88%	24,69%	28,03%
164,10	11,53%	21,43%	27,66%	32,47%
174,19	12,77%	24,98%	36,79%	44,04%
187,23	18,16%	30,87%	40,47%	47,34%
192,49	17,30%	30,82%	42,44%	49,75%
183,34	5,25%	18,69%	31,54%	43,97%
190,83	1,92%	20,44%	33,39%	43,18%
184,03	-4,39%	12,15%	25,07%	36,18%
195,51	6,64%	12,24%	26,57%	40,28%
180,19	-5,58%	-3,76%	13,72%	25,95%
173,69	-5,62%	-9,77%	5,84%	18,04%
189,67	-2,99%	3,45%	8,89%	22,79%
192,47	6,82%	0,86%	2,80%	21,47%
185,73	6,93%	0,92%	-3,51%	13,18%
173,41	-8,57%	-11,30%	-5,41%	-0,45%
168,91	-12,24%	-6,26%	-11,49%	-9,78%
169,52	-8,73%	-2,40%	-7,89%	-11,93%
168,70	-2,72%	-11,06%	-13,71%	-7,98%
176,88	4,72%	-8,10%	-1,84%	-7,31%
175,55	3,56%	-5,48%	1,07%	-4,61%
184,86	9,58%	6,60%	-2,54%	-5,45%
183,81	3,92%	8,82%	-4,50%	2,01%
181,82	3,57%	7,26%	-2,10%	4,68%
187,76	1,57%	11,30%	8,27%	-1,01%
186,21	1,31%	5,28%	10,24%	-3,25%
185,82	2,20%	5,85%	9,62%	0,05%
186,41	-0,72%	0,84%	10,50%	7,49%
196,81	5,69%	7,07%	11,27%	16,52%
199,67	7,46%	9,82%	13,74%	17,79%
204,13	9,51%	8,72%	10,42%	21,00%
207,70	5,53%	11,54%	13,00%	17,43%
202,59	1,46%	9,02%	11,42%	15,40%
199,83	-2,11%	7,20%	6,43%	8,10%
198,43	-4,46%	0,82%	6,56%	7,95%
205,80	1,59%	3,07%	10,75%	13,19%
215,77	7,98%	5,70%	15,75%	14,92%
217,28	9,50%	4,61%	10,40%	16,68%
217,51	5,69%	7,37%	8,93%	17,06%
223,18	3,43%	11,68%	9,33%	19,73%
224,31	3,24%	13,05%	8,00%	13,98%
216,77	-0,34%	5,33%	7,00%	8,56%
230,08	3,09%	6,63%	15,13%	12,71%
232,09	3,46%	6,82%	16,96%	11,74%
237,30	9,47%	9,10%	15,30%	17,13%
236,24	2,68%	5,85%	9,49%	18,22%
245,19	5,65%	9,31%	12,85%	23,57%
238,54	0,52%	10,04%	9,67%	15,91%
225,63	-4,49%	-1,93%	1,10%	4,57%
228,99	-6,61%	-1,33%	2,08%	5,39%
212,80	-10,79%	-10,33%	-1,83%	-2,17%
226,81	0,53%	-3,99%	-1,42%	1,63%
240,21	4,90%	-2,03%	3,50%	7,09%
248,80	16,92%	4,30%	4,84%	14,78%
263,49	16,17%	16,78%	11,53%	14,52%
255,30	6,28%	11,49%	4,12%	10,00%
263,71	5,99%	23,93%	10,55%	11,13%
274,03	4,00%	20,82%	21,45%	16,00%
277,77	8,80%	15,64%	21,30%	13,29%
276,75	4,95%	11,24%	30,05%	16,02%
280,31	2,29%	6,39%	23,59%	24,24%
283,06	1,90%	10,88%	17,84%	23,61%
285,26	3,07%	8,17%	14,65%	34,05%
299,89	6,98%	9,44%	13,82%	32,22%
273,74	-3,30%	-1,45%	7,22%	13,96%
261,98	-8,16%	-5,34%	-0,66%	5,30%
283,04	-5,62%	0,97%	3,29%	7,42%
280,52	2,48%	-0,90%	0,99%	9,88%
285,85	9,11%	0,21%	3,29%	8,39%
286,17	1,10%	-4,58%	2,09%	4,43%
295,84	5,46%	8,08%	4,51%	6,50%
302,60	5,86%	15,51%	6,08%	9,34%
291,62	1,90%	3,03%	-2,76%	4,03%
305,52	3,27%	8,91%	11,61%	7,93%
307,91	1,75%	7,72%	17,53%	7,94%
313,13	7,38%	9,42%	10,63%	4,41%
314,83	3,05%	6,42%	12,23%	15,01%
333,05	8,16%	10,06%	16,51%	27,13%
337,33	7,73%	15,67%	17,88%	19,18%
332,68	5,67%	8,89%	12,45%	18,59%
345,58	3,76%	12,24%	14,20%	20,90%
359,06	6,44%	14,67%	23,13%	25,47%
373,71	12,33%	18,70%	22,32%	26,32%
368,37	6,59%	10,60%	19,63%	21,73%
372,90	3,85%	10,54%	19,09%	27,87%
396,32	6,05%	19,13%	25,88%	29,72%
404,64	9,85%	17,09%	21,50%	31,41%
376,88	1,07%	4,96%	11,72%	20,36%
367,57	-7,25%	-1,64%	10,49%	16,75%
372,02	-8,06%	0,99%	7,65%	11,70%
360,75	-4,28%	-3,26%	0,47%	6,94%
356,96	-2,89%	-9,93%	-4,48%	7,30%
339,61	-8,71%	-16,07%	-7,81%	-1,73%
370,21	2,62%	-1,77%	-0,72%	3,10%
370,77	3,87%	0,87%	-6,45%	-0,79%
346,04	1,89%	-6,98%	-14,48%	-6,06%
353,44	-4,53%	-2,03%	-6,22%	-5,22%
366,13	-1,25%	2,57%	-0,39%	-7,62%
355,80	2,82%	4,77%	-4,36%	-12,07%
